Tweet,Hate_Speech,tokenized_text
cowok berusaha melacak perhatian lantas remehkan perhatian kasih khusus basic cowok bego,1,"['cowok', 'berusaha', 'melacak', 'perhatian', 'lantas', 'remehkan', 'perhatian', 'kasih', 'khusus', 'basic', 'cowok', 'bego']"
41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,0,"['kadang', 'berpikir', 'percaya', 'tuhan', 'jatuh', 'berkali', 'kali', 'kadang', 'tuhan', 'meninggalkan', 'orang', 'tuaku', 'berencana', 'berpisah', 'kakakku', 'memilih', 'kristen', 'anak', 'ter']"
ku tau matamu sipit,0,"['ku', 'tau', 'matamu', 'sipit']"
kaum cebong kafir dongoknya dungu haha,1,"['kaum', 'cebong', 'kafir', 'dongoknya', 'dungu', 'haha']"
ya bani taplak kawan kawan,1,"['ya', 'bani', 'taplak', 'kawan', 'kawan']"
deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,"['deklarasi', 'pilihan', 'kepala', 'daerah', 'aman', 'anti', 'hoaks', 'warga', 'dukuh', 'sari', 'jabon']"
selesai re watch aldnoah zero kampret 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,"['selesai', 're', 'watch', 'aldnoah', 'zero', 'kampret', 'karakter', 'utama', 'cowoknya', 'kena', 'friendzone', 'bro', 'xd', 'uniform', 'resource', 'locator']"
admin belanja port terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertuaku taipan 2 kembar baby amp romantika bank islam senawang,0,"['admin', 'belanja', 'port', 'terbaik', 'nak', 'makan', 'ais', 'kepal', 'milo', 'ais', 'kepal', 'horlicks', 'cendol', 'toping', 'kau', 'kau', 'doket', 'gerai', 'rozak', 'mertuaku', 'taipan', 'kembar', 'baby', 'amp', 'romantika', 'bank', 'islam', 'senawang']"
enak ngewe,0,"['enak', 'ngewe']"
gue jari gue ukur nyali bacot,1,"['gue', 'jari', 'gue', 'ukur', 'nyali', 'bacot']"
banci kaleng malu 2 nyungsep koe uniform resource locator,1,"['banci', 'kaleng', 'malu', 'nyungsep', 'koe', 'uniform', 'resource', 'locator']"
belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,"['belajar', 'ekonomi', 'mestinya', 'jago', 'memprivatisasi', 'hati', 'orang', 'aduh', 'ironi']"
aktor huru hara 98 prabowo si lengserkan pemerintahan jokowi nyata,1,"['aktor', 'huru', 'hara', 'prabowo', 'si', 'lengserkan', 'pemerintahan', 'jokowi', 'nyata']"
bu guru enakan jablay guru sekolah dasar sih kayaknya menikmati pecun guru,1,"['bu', 'guru', 'enakan', 'jablay', 'guru', 'sekolah', 'dasar', 'sih', 'kayaknya', 'menikmati', 'pecun', 'guru']"
lawan bicara gue intelek kayak otak kencing onta gue mengakui hadis nabi sahih kafir kayak menolak ahlun nar,1,"['lawan', 'bicara', 'gue', 'intelek', 'kayak', 'otak', 'kencing', 'onta', 'gue', 'mengakui', 'hadis', 'nabi', 'sahih', 'kafir', 'kayak', 'menolak', 'ahlun', 'nar']"
pikiran ampas banget ya,0,"['pikiran', 'ampas', 'banget', 'ya']"
ari beki rapi monyet,0,"['ari', 'beki', 'rapi', 'monyet']"
cowok gantle gantle namanya banci,1,"['cowok', 'gantle', 'gantle', 'namanya', 'banci']"
alga mnr bom,0,"['alga', 'mnr', 'bom']"
anjing ya gue jarang mengambek takut wkwk gue budak cinta,0,"['anjing', 'ya', 'gue', 'jarang', 'mengambek', 'takut', 'wkwk', 'gue', 'budak', 'cinta']"
noob peluang disakiti nya gede sih,0,"['noob', 'peluang', 'disakiti', 'nya', 'gede', 'sih']"
joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,"['joko', 'widodo', 'dinilai', 'presiden', 'terlemah', 'sejarah', 'indonesia', 'jokowi', 'memiliki', 'modal', 'dukungan', 'politik', 'ketidakmampuan', 'pemerintahannya', 'menghadapi', 'situasi', 'ekonomi']"
pelajar kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,"['pelajar', 'kecamatan', 'bilah', 'hilir', 'deklarasi', 'anti', 'hoaks', 'amp', 'pilihan', 'kepala', 'daerah', 'damai']"
bandara udara internasional kertajati dibangun gubernur ahmad heryawan anggaran pendapatan belanja negara pemerintah pusat insya allah beroperasi,0,"['bandara', 'udara', 'internasional', 'kertajati', 'dibangun', 'gubernur', 'ahmad', 'heryawan', 'anggaran', 'pendapatan', 'belanja', 'negara', 'pemerintah', 'pusat', 'insya', 'allah', 'beroperasi']"
gubernur presidennya rakyatnya ya,0,"['gubernur', 'presidennya', 'rakyatnya', 'ya']"
sih kerjaannya delay mulu setan,1,"['sih', 'kerjaannya', 'delay', 'mulu', 'setan']"
menurutku pintu sorga pintu sorga asli pintu hatimu modus banget,0,"['menurutku', 'pintu', 'sorga', 'pintu', 'sorga', 'asli', 'pintu', 'hatimu', 'modus', 'banget']"
nenek nenek heran cebong bohong,1,"['nenek', 'nenek', 'heran', 'cebong', 'bohong']"
islam nusantara produk jil dipasarkan gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,1,"['islam', 'nusantara', 'produk', 'jil', 'dipasarkan', 'gencar', 'antek', 'jil', 'jil', 'anti', 'arab', 'pro', 'asing', 'almarhum', 'kh', 'hasyim', 'muzadi']"
habis sahur jam 10 si bayi nete kali lemas,0,"['habis', 'sahur', 'jam', 'si', 'bayi', 'nete', 'kali', 'lemas']"
kak emak suka sipit wkwk,0,"['kak', 'emak', 'suka', 'sipit', 'wkwk']"
kak gue orang jawa maaf ya gue orang palembang kakak deh belajar aksara jawa kelak belajar budaya palembang,0,"['kak', 'gue', 'orang', 'jawa', 'maaf', 'ya', 'gue', 'orang', 'palembang', 'kakak', 'deh', 'belajar', 'aksara', 'jawa', 'kelak', 'belajar', 'budaya', 'palembang']"
pegawai guardian training kayak mentang mentang kayak gembel kaos flat shoes dijutekin bangsat malas belinya kabur gue matahari,1,"['pegawai', 'guardian', 'training', 'kayak', 'mentang', 'mentang', 'kayak', 'gembel', 'kaos', 'flat', 'shoes', 'dijutekin', 'bangsat', 'malas', 'belinya', 'kabur', 'gue', 'matahari']"
bajingan melukai lady menerima ganjaran seratus kali lipat selamat ulang pelaut jkt48,0,"['bajingan', 'melukai', 'lady', 'menerima', 'ganjaran', 'seratus', 'kali', 'lipat', 'selamat', 'ulang', 'pelaut', 'jkt']"
ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,0,"['ajakan', 'menolak', 'berita', 'hoaks', 'sukseskan', 'pilihan', 'kepala', 'daerah', 'wilayah', 'kota', 'kediri']"
presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,0,"['presiden', 'ri', 'jokowi', 'kerja', 'nya', 'tulus', 'ikhlas', 'rakyat', 'jokowi']"
edan tujuannya fabiano,0,"['edan', 'tujuannya', 'fabiano']"
mendalami al alquran ya bang mulutnya kayak orang kafir bejat hina farhat abbas law,1,"['mendalami', 'al', 'alquran', 'ya', 'bang', 'mulutnya', 'kayak', 'orang', 'kafir', 'bejat', 'hina', 'farhat', 'abbas', 'law']"
beda kewibawaannya berwibawa gubernur indonesia masya allah,0,"['beda', 'kewibawaannya', 'berwibawa', 'gubernur', 'indonesia', 'masya', 'allah']"
anjir kali lihat orang bego debat pilihan kepala daerah kerjanya menyerang karakter kecewa on empok silvy and agus debat final pemilihan kepala daerah jakarta,1,"['anjir', 'kali', 'lihat', 'orang', 'bego', 'debat', 'pilihan', 'kepala', 'daerah', 'kerjanya', 'menyerang', 'karakter', 'kecewa', 'on', 'empok', 'silvy', 'and', 'agus', 'debat', 'final', 'pemilihan', 'kepala', 'daerah', 'jakarta']"
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 rt keanekaragaman budaya suku agama sesungguhnya kekayaan djarot hadapan peserta rakercabsu,0,"['gubernur', 'zaman', 'now', 'gus', 'ipul', 'puti', 'ganjar', 'yasin', 'djarot', 'sihar', 'hasan', 'anton', 'koster', 'ace', 'nurdin', 'sudirman', 'karolin', 'gidot', 'rt', 'keanekaragaman', 'budaya', 'suku', 'agama', 'sesungguhnya', 'kekayaan', 'djarot', 'hadapan', 'peserta', 'rakercabsu']"
iya islam lokalisasi kristen mas nusantaranya mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0,"['iya', 'islam', 'lokalisasi', 'kristen', 'mas', 'nusantaranya', 'mas', 'lihat', 'gereja', 'bandung', 'pakai', 'gamelan', 'khotbah', 'pakai', 'bahas', 'sunda', 'jawa', 'huria', 'kristen', 'batak', 'protestan', 'nusantara']"
ciptakan situasi keamanan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi tokoh masyarakat,0,"['ciptakan', 'situasi', 'keamanan', 'ketertiban', 'masyarakat', 'menjelang', 'pilihan', 'kepala', 'daerah', 'kepala', 'kepolisian', 'sektor', 'konang', 'silaturahmi', 'tokoh', 'masyarakat']"
positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0,"['positif', 'nse', 'positif', 'respon', 'masyarakat', 'cangkul', 'impor', 'garam', 'impor', 'beras', 'impor', 'jagung', 'impor', 'tenaga', 'kerja', 'impor', 'esemka', 'impor', 'nurl']"
sembahyang mengadopsi tradisi lokal pekerjaan hindu nistilahsembahyangpun lahir tradisi ritusmenyembahhyang tunggal denganshalat menyembah all,0,"['sembahyang', 'mengadopsi', 'tradisi', 'lokal', 'pekerjaan', 'hindu', 'lahir', 'tradisi', 'tunggal', 'denganshalat', 'menyembah', 'all']"
pendidikan bodoh larang bawa agama biar orang islam bayar ahok sadar memilih ahok gila,1,"['pendidikan', 'bodoh', 'larang', 'bawa', 'agama', 'biar', 'orang', 'islam', 'bayar', 'ahok', 'sadar', 'memilih', 'ahok', 'gila']"
ahok the best abaikan kaum kampret otak micin,1,"['ahok', 'the', 'best', 'abaikan', 'kaum', 'kampret', 'otak', 'micin']"
sih otak tempurung meladeni lawan dungu makan hehe,1,"['sih', 'otak', 'tempurung', 'meladeni', 'lawan', 'dungu', 'makan', 'hehe']"
