,tweet,Hate_Speech,translated_tweet
0,he not even fucking funny and his icing is so subpar i rather listen to a plunger in a toilet bah what a bland twat,1,Dia lucu lapisan gulanya standar suka mendengarkan plunger toilet bah hambar twat
1,it really really is cauline hansom and her it's okay to be white thing are like the tip of the garbage genocide iceberg,1,Benar -benar -benar cauline hansom -apa putih ujung sampah genosida sampah
2,don't you disrespect the flag nigger,1,Anda menghormati negro bendera
3,sh women really are retarded,1,SH wanita -benar terbelakang
4,here ur question faggotfrom another faggotthere isnt a fucking question here faggot ,0,pertanyaanmu faggot homgote sialan fagot
5,not a bad night considering i was part mongoloid,0,malam buruk mongoloid
6,i wish i could be around to see one of those shitholecountries rule the world one day better yet for trump to still be around,1,Saya berharap salah shitholecountries memerintah dunia Trump
7,  susan did i ask no so go back to where you come from oknand don forget to buy and stream mono while you at it,1,Susan Anda berasal
8,we is all i can truly say without being a cunt,0,Kami -benar vagina
9,tell them he called me a spic,1,Beri memanggil spic
10,refugees displacement increases the risk of statelessnessliving in limbo europe's stateless refugees  via ,0,Perpindahan Pengungsi Meningkatkan Risiko Kewarganegaraan Tanpa Kewarganegaraan Limbo Europes Stateless Refugees Via VIA
11,representative cindy lou who a man of tremendous courage and grit may someday be recognized as a shithole countries,1,Perwakilan Cindy Lou pria keberanian grit diakui negara shithole
12,there's a fucking stupid little brat in our village who drives around like a twat dangerously pulls into parking s,1,Ada bocah bodoh desa berkendara twat berbahaya masuk parkir s
13,some white person with the word spic on their handle got red on my timeline earlier and like why would u have that,1,Beberapa orang kulit putih spic pegangan merah timeline Anda memilikinya
14,['calling higher a zany believably'],0,Calling Higher A Zany dipercaya
15,sad cunt,1,Vagina sedih
16,i bet it has something to do with the hamlet,0,Saya hubungannya dusun
17,"[""you wear ' t have enough ooze in you to thing thong me that badly""]",0,Anda memakai cairan Anda buruk
18,since when is a chainman white what have you been smoking,1,Sejak crainman white Anda rokok
19,lot 2 anxiety attacks in a day hah what a faggot,0,Lot 2 serangan kecemasan sehari hah homo
20,trumpafricanamericans come from shithole countries and mexicans are rapists and murderers and the only good ,1,Trumpafricanamericans berasal negara -negara shithole orang Meksiko pemerkosa pembunuh -satunya
21,thing thong change i tired,0,perubahan lelah
22,love you too faggot,0,mencintaimu homo
23,what are you retarded up gonna get the cheese touch,1,Apa Anda terbelakang sentuhan keju
24,you've never been a twat,0,Anda twat
25,hi everyone just letting you know that it's okay to be white auspex,0,hai Anda -apa putih auspex
