,tweet,Hate_Speech
0,if america had another 8 years of obama's ideology via hillary we'd be well on our way to being a shithole country,1
3,queue is fucking retarded it makes everyone feel like they don't even have a chance make it focus again for muckrake,1
4,due we ne sit pas does burundi refugees alert car lemur corps son visible a local nu,1
7,  btw are we now allowed to say shithole countries are we also allowed to say how wes ,0
9,still a bitter cunt why so much interest in arsenal he isn't the only player to player for us and get sold,1
11,children of refugees,1
12,it doesn't right he a negro by default,1
14,many mask's classical and golden scenes will be cut just because of the stupid retarded and shitty idea of going a,0
16,are you okay with giving benefits to illegal aliens are okay with them working here illegally are,1
21,  economic asylum isn a thing neither iscountry is a shithole asylum nnhow m ,1
23,man i leave for one week and the first twat to nut on this,1
29,welcome to the twitter club known as you've been reported by a far left retarded cry baby,1
33,no matter how hard i try i will always be retarded in math,1
36,i swear my boyfriend is partially retarded at times,1
38,yes retarded not me your leader the paper tiger,1
39,selling all my dvds hahahaha the shop is gonna hate me but the woman at the counter is a mongy cunt anyway so deser ,1
40,i so done dealing with little bitches grow a fucking pair cunt,0
49,it's not fair nigger,0
51,the damage slogan is so unbelievably stupid it every offense goal to do damage it gives mongoloid boson f,1
55,my grandma called me a faggot today that a new low,1
57,what no roofe pen eithernnfuck off cuntnnwe did more than enough to win that game fact we're takin ,1
58, sure except for directly quoting trumpcountries,0
59,let them rot in the shithole they chose never ever ever let them near our country ,1
62,babe ruth was a dirty new,1
65,pretty much hes a little dick faggot that needs his ass beat for a reality check that he ain't shit,1
69,fat money mess today,1
71,what the fuck is this ching chong siopao dimsum shit sa question 3cant understand cant c o n t e x t u a l i z e kasi it is so vague,1
72,anyways harry styles could call me a dirty spic and id still munch on his asshole with no shame,1
76,saddest anime us if not he's retarded,0
77,it's always the liberals that threaten that ism a spic and will be deported for supporting trump,1
80,went passed that fancy dress shop at outside n there actual fucking bouncers outside ya cunt imagine being kb,0
82,pretty sure he called me a spic four times over already,0
84,yeah as long as west ham fans are of fucking retard,1
87,thing thing thong toolbox oh i got my couture money,0
90,24 hours in swakopmund namibia travel africa ttot ,0
93,have robots is a certified retard,1
94,fucking retard,1
95,nyc is a shithole country in of itself my god how quickly they destroyed what rudy did to build shameless ,0
97,i look like a dyke brush,0
98,i look retarded,1
101,so damn retarded,1
102,i think late immigrants from africa are more likely to succeed in america than black america,0
103,y nights gay be doing hell faggot ass shit,1
105,it truly fucking baffles me when people genuinely fucking think that sayingchong ling lang ding is actuall ,0
111,will you be explaining why you defend illegal aliens over citizens,0
